post_id,rugby_ignite_url,team_a,team_b,date,season,home_points,away_points,match_status,competition_name
1094,https://rugbyignite.co.za/fixture/2025/hoerskool-nelspruit-vs-rondebosch-boys-high-school/,Hoërskool Nelspruit,Rondebosch Boys High School,2025-04-01,2025,12,47,migrated,
1095,https://rugbyignite.co.za/fixture/2025/hoerskool-nelspruit-vs-middelburg-high-school-2/,Hoërskool Nelspruit,Middelburg High School,2025-04-12,2025,26,27,migrated,
1096,https://rugbyignite.co.za/fixture/2025/hoerskool-nelspruit-vs-welkom-gimnasium/,Hoërskool Nelspruit,Welkom Gimnasium,2025-04-17,2025,34,31,migrated,
1097,https://rugbyignite.co.za/fixture/2025/hoerskool-nelspruit-vs-maritzburg-college/,Hoërskool Nelspruit,Maritzburg College,2025-04-19,2025,22,13,migrated,
1098,https://rugbyignite.co.za/fixture/2025/hoerskool-nelspruit-vs-hoerskool-waterkloof/,Hoërskool Nelspruit,Hoërskool Waterkloof,2025-04-26,2025,31,24,migrated,
1099,https://rugbyignite.co.za/fixture/2025/hoerskool-nelspruit-vs-helpmekaar/,Hoërskool Nelspruit,Helpmekaar,2025-05-17,2025,13,22,migrated,
1100,https://rugbyignite.co.za/fixture/2025/hoerskool-nelspruit-vs-noordheuwel/,Hoërskool Nelspruit,Hoërskool Noordheuwel,2025-06-07,2025,14,27,migrated,
1101,https://rugbyignite.co.za/fixture/2025/hoerskool-nelspruit-vs-eg-jansen/,Hoërskool Nelspruit,EG Jansen,2025-08-09,2025,27,21,migrated,
1102,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-hoerskool-rustenburg/,Hoërskool Noordheuwel,Hoërskool Rustenburg,2025-03-15,2025,40,12,migrated,
1103,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-grey-college/,Hoërskool Noordheuwel,Grey College,2025-03-29,2025,22,24,migrated,
1104,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-paul-roos-ginmasium/,Hoërskool Noordheuwel,Paul Roos Gimnasium,2025-04-01,2025,19,26,migrated,
1105,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-affies/,Hoërskool Noordheuwel,Afrikaanse Hoër Seunskool,2025-04-19,2025,27,45,migrated,
1106,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-jeppe-high-school-for-boys/,Hoërskool Noordheuwel,Jeppe High School For Boys,2025-04-21,2025,21,20,migrated,
1107,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-paarl-boys-high/,Hoërskool Noordheuwel,Paarl Boys High,2025-05-01,2025,14,42,migrated,Wildeklawer 2025
1108,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-hoerskool-outeniqua/,Hoërskool Noordheuwel,Hoërskool Outeniqua,2025-05-03,2025,35,32,migrated,Wildeklawer 2025
1109,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-king-edward-vii-school/,Hoërskool Noordheuwel,King Edward VII School,2025-05-17,2025,22,23,migrated,
1110,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-hoerskool-monument/,Hoërskool Noordheuwel,Hoërskool Monument,2025-05-24,2025,43,27,migrated,
1111,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-hoerskool-waterkloof/,Hoërskool Noordheuwel,Hoërskool Waterkloof,2025-07-26,2025,33,27,migrated,
1112,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-garsfontein/,Hoërskool Noordheuwel,Garsfontein,2025-08-02,2025,28,22,migrated,
1113,https://rugbyignite.co.za/fixture/2025/noordheuwel-vs-hoerskool-menlopark/,Hoërskool Noordheuwel,Hoërskool Menlopark,2025-08-09,2025,20,34,migrated,
1114,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-trio-high-school/,Hoërskool Rustenburg,Trio High School,2025-03-01,2025,17,14,migrated,
1115,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-hoerskool-diamantveld/,Hoërskool Rustenburg,Hoerskool Diamantveld,2025-03-29,2025,60,24,migrated,
1116,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-nico-malan-high-school/,Hoërskool Rustenburg,Nico Malan High School,2025-04-01,2025,15,15,migrated,
1117,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-durban-high-school/,Hoërskool Rustenburg,Durban High School,2025-04-17,2025,7,41,migrated,
1118,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-westville-boys-high-school/,Hoërskool Rustenburg,Westville Boys' High School,2025-04-21,2025,17,24,migrated,
1119,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-bethlehem-voortrekker-hoerskool/,Hoërskool Rustenburg,Bethlehem Voortrekker Hoerskool,2025-05-01,2025,40,7,migrated,Wildeklawer 2025
1120,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-welkom-gimnasium/,Hoërskool Rustenburg,Welkom Gimnasium,2025-05-03,2025,33,0,migrated,Wildeklawer 2025
1121,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-hoerskool-nelspruit/,Hoërskool Rustenburg,Hoërskool Nelspruit,2025-05-24,2025,38,32,migrated,
1122,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-garsfontein/,Hoërskool Rustenburg,Garsfontein,2025-06-07,2025,27,33,migrated,
1123,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-noordheuwel/,Hoërskool Rustenburg,Hoërskool Noordheuwel,2025-06-14,2025,7,27,migrated,
1124,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-eg-jansen/,Hoërskool Rustenburg,EG Jansen,2025-07-26,2025,34,28,migrated,
1125,https://rugbyignite.co.za/fixture/2025/hoerskool-rustenburg-vs-hoerskool-monument/,Hoërskool Rustenburg,Hoërskool Monument,2025-08-09,2025,14,24,migrated,
1126,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-middelburg-high-school/,Hoërskool Transvalia,Middelburg High School,2025-03-15,2025,28,21,migrated,
1127,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-hoerskool-menlopark/,Hoërskool Transvalia,Hoërskool Menlopark,2025-03-21,2025,17,29,migrated,
1128,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-durban-high-school/,Hoërskool Transvalia,Durban High School,2025-04-03,2025,10,10,migrated,
1129,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-glenwood-high-school/,Hoërskool Transvalia,Glenwood High School,2025-04-05,2025,6,5,migrated,
1130,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-hts-middelburg/,Hoërskool Transvalia,HTS Middelburg,2025-04-12,2025,21,10,migrated,
1131,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-hoerskool-rustenburg/,Hoërskool Transvalia,Hoërskool Rustenburg,2025-05-10,2025,20,13,migrated,
1132,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-eg-jansen/,Hoërskool Transvalia,EG Jansen,2025-05-17,2025,39,26,migrated,
1133,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-helpmekaar/,Hoërskool Transvalia,Helpmekaar,2025-07-26,2025,10,36,migrated,
1134,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-hoerskool-nelspruit/,Hoërskool Transvalia,Hoërskool Nelspruit,2025-08-02,2025,20,19,migrated,
